Loaded 7,473 train + 1,319 test = 8,792 total rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building next_subquestion_pairs_gsm8k_v2.csv ──
  [3863/8792] Generating subquestions (4 steps)...
  [3864/8792] Generating subquestions (4 steps)...
  [3865/8792] Generating subquestions (2 steps)...
  [3866/8792] Generating subquestions (6 steps)...
  [3867/8792] Generating subquestions (4 steps)...
  [3868/8792] Generating subquestions (4 steps)...
  [3869/8792] Generating subquestions (2 steps)...
  [3870/8792] Generating subquestions (5 steps)...
  [3871/8792] Generating subquestions (2 steps)...
  [3872/8792] Generating subquestions (7 steps)...
  [3873/8792] Generating subquestions (5 steps)...
  [3874/8792] Generating subquestions (2 steps)...
  [3875/8792] Generating subquestions (3 steps)...
  [3876/8792] Generating subquestions (2 steps)...
  [3877/8792] Generating subquestions (4 steps)...
  [3878/8792] Generating subquestions (2 steps)...
  [3879/8792] Generating subquestions (2 steps)...
  [3880/8792] Generating subquestions (2 steps)...
  [3881/8792] Generating subquestions (4 steps)...
  [3882/8792] Generating subquestions (3 steps)...
  [3883/8792] Generating subquestions (2 steps)...
  [3884/8792] Generating subquestions (2 steps)...
  [3885/8792] Generating subquestions (2 steps)...
  [3886/8792] Generating subquestions (3 steps)...
  [3888/8792] Generating subquestions (3 steps)...
  [3889/8792] Generating subquestions (2 steps)...
  [3890/8792] Generating subquestions (4 steps)...
  [3891/8792] Generating subquestions (2 steps)...
  [3892/8792] Generating subquestions (2 steps)...
  [3893/8792] Generating subquestions (3 steps)...
  [3894/8792] Generating subquestions (5 steps)...
  [3895/8792] Generating subquestions (5 steps)...
  [3896/8792] Generating subquestions (3 steps)...
  [3897/8792] Generating subquestions (3 steps)...
  [3898/8792] Generating subquestions (2 steps)...
  [3899/8792] Generating subquestions (3 steps)...
  [3900/8792] Generating subquestions (2 steps)...
  [3901/8792] Generating subquestions (4 steps)...
  [3902/8792] Generating subquestions (5 steps)...
  [3903/8792] Generating subquestions (3 steps)...
  [3904/8792] Generating subquestions (4 steps)...
  [3905/8792] Generating subquestions (8 steps)...
  [3906/8792] Generating subquestions (2 steps)...
  [3907/8792] Generating subquestions (3 steps)...
  [3908/8792] Generating subquestions (2 steps)...
  [3909/8792] Generating subquestions (2 steps)...
  [3910/8792] Generating subquestions (5 steps)...
  [3911/8792] Generating subquestions (2 steps)...
  [3912/8792] Generating subquestions (3 steps)...
  [3913/8792] Generating subquestions (3 steps)...
  [3914/8792] Generating subquestions (5 steps)...
  [3915/8792] Generating subquestions (3 steps)...
  [3916/8792] Generating subquestions (3 steps)...
  [3917/8792] Generating subquestions (6 steps)...
  [3918/8792] Generating subquestions (2 steps)...
  [3920/8792] Generating subquestions (3 steps)...
  [3921/8792] Generating subquestions (3 steps)...
  [3922/8792] Generating subquestions (6 steps)...
  [3924/8792] Generating subquestions (3 steps)...
  [3925/8792] Generating subquestions (3 steps)...
  [3926/8792] Generating subquestions (2 steps)...
  [3927/8792] Generating subquestions (2 steps)...
  [3928/8792] Generating subquestions (3 steps)...
  [3930/8792] Generating subquestions (2 steps)...
  [3931/8792] Generating subquestions (6 steps)...
  [3932/8792] Generating subquestions (5 steps)...
  [3933/8792] Generating subquestions (2 steps)...
  [3934/8792] Generating subquestions (3 steps)...
  [3935/8792] Generating subquestions (3 steps)...
  [3936/8792] Generating subquestions (6 steps)...
  [3937/8792] Generating subquestions (2 steps)...
  [3938/8792] Generating subquestions (4 steps)...
  [3939/8792] Generating subquestions (2 steps)...
  [3940/8792] Generating subquestions (4 steps)...
  [3941/8792] Generating subquestions (2 steps)...
  [3942/8792] Generating subquestions (3 steps)...
  [3943/8792] Generating subquestions (4 steps)...
  [3944/8792] Generating subquestions (6 steps)...
  [3946/8792] Generating subquestions (3 steps)...
  [3947/8792] Generating subquestions (5 steps)...
  [3948/8792] Generating subquestions (2 steps)...
  [3949/8792] Generating subquestions (4 steps)...
  [3950/8792] Generating subquestions (4 steps)...
  [3951/8792] Generating subquestions (2 steps)...
  [3952/8792] Generating subquestions (3 steps)...
  [3953/8792] Generating subquestions (2 steps)...
  [3954/8792] Generating subquestions (2 steps)...
  [3955/8792] Generating subquestions (2 steps)...
  [3956/8792] Generating subquestions (3 steps)...
  [3957/8792] Generating subquestions (5 steps)...
  [3958/8792] Generating subquestions (5 steps)...
  [3959/8792] Generating subquestions (4 steps)...
  [3960/8792] Generating subquestions (2 steps)...
  [3961/8792] Generating subquestions (3 steps)...
  [3962/8792] Generating subquestions (6 steps)...
  [3963/8792] Generating subquestions (2 steps)...
  [3965/8792] Generating subquestions (2 steps)...
  [3966/8792] Generating subquestions (3 steps)...
  [3967/8792] Generating subquestions (3 steps)...
  [3968/8792] Generating subquestions (4 steps)...
  [3969/8792] Generating subquestions (3 steps)...
  [3970/8792] Generating subquestions (4 steps)...
  [3971/8792] Generating subquestions (3 steps)...
  [3973/8792] Generating subquestions (3 steps)...
  [3974/8792] Generating subquestions (2 steps)...
  [3975/8792] Generating subquestions (3 steps)...
  [3976/8792] Generating subquestions (2 steps)...
  [3977/8792] Generating subquestions (4 steps)...
  [3978/8792] Generating subquestions (4 steps)...
  [3979/8792] Generating subquestions (3 steps)...
  [3980/8792] Generating subquestions (2 steps)...
  [3981/8792] Generating subquestions (3 steps)...
  [3982/8792] Generating subquestions (4 steps)...
  [3983/8792] Generating subquestions (3 steps)...
  [3984/8792] Generating subquestions (3 steps)...
  [3985/8792] Generating subquestions (4 steps)...
  [3986/8792] Generating subquestions (4 steps)...
  [3987/8792] Generating subquestions (2 steps)...
  [3989/8792] Generating subquestions (4 steps)...
  [3990/8792] Generating subquestions (3 steps)...
  [3991/8792] Generating subquestions (3 steps)...
  [3992/8792] Generating subquestions (3 steps)...
  [3993/8792] Generating subquestions (3 steps)...
  [3994/8792] Generating subquestions (5 steps)...
  [3995/8792] Generating subquestions (4 steps)...
  [3996/8792] Generating subquestions (3 steps)...
  [3997/8792] Generating subquestions (3 steps)...
  [3998/8792] Generating subquestions (2 steps)...
  [3999/8792] Generating subquestions (5 steps)...
  [4000/8792] Generating subquestions (3 steps)...
  [4001/8792] Generating subquestions (5 steps)...
  [4002/8792] Generating subquestions (3 steps)...
  [4003/8792] Generating subquestions (5 steps)...
  [4004/8792] Generating subquestions (4 steps)...
  [4005/8792] Generating subquestions (2 steps)...
  [4006/8792] Generating subquestions (3 steps)...
  [4007/8792] Generating subquestions (2 steps)...
  [4008/8792] Generating subquestions (5 steps)...
  [4009/8792] Generating subquestions (2 steps)...
  [4010/8792] Generating subquestions (4 steps)...
  [4011/8792] Generating subquestions (3 steps)...
  [4012/8792] Generating subquestions (2 steps)...
  [4013/8792] Generating subquestions (2 steps)...
  [4014/8792] Generating subquestions (2 steps)...
  [4015/8792] Generating subquestions (5 steps)...
  [4016/8792] Generating subquestions (2 steps)...
  [4017/8792] Generating subquestions (2 steps)...
  [4018/8792] Generating subquestions (3 steps)...
  [4019/8792] Generating subquestions (5 steps)...
  [4020/8792] Generating subquestions (3 steps)...
  [4021/8792] Generating subquestions (5 steps)...
  [4022/8792] Generating subquestions (3 steps)...
  [4023/8792] Generating subquestions (3 steps)...
  [4024/8792] Generating subquestions (2 steps)...
  [4025/8792] Generating subquestions (5 steps)...
  [4026/8792] Generating subquestions (2 steps)...
  [4027/8792] Generating subquestions (3 steps)...
  [4028/8792] Generating subquestions (4 steps)...
  [4029/8792] Generating subquestions (2 steps)...
  [4030/8792] Generating subquestions (3 steps)...
  [4031/8792] Generating subquestions (4 steps)...
  [4032/8792] Generating subquestions (2 steps)...
  [4033/8792] Generating subquestions (3 steps)...
  [4034/8792] Generating subquestions (2 steps)...
  [4035/8792] Generating subquestions (4 steps)...
  [4036/8792] Generating subquestions (2 steps)...
  [4037/8792] Generating subquestions (5 steps)...
  [4038/8792] Generating subquestions (2 steps)...
  [4039/8792] Generating subquestions (2 steps)...
  [4040/8792] Generating subquestions (2 steps)...
  [4041/8792] Generating subquestions (3 steps)...
  [4042/8792] Generating subquestions (3 steps)...
  [4043/8792] Generating subquestions (2 steps)...
  [4044/8792] Generating subquestions (4 steps)...
  [4045/8792] Generating subquestions (4 steps)...
  [4046/8792] Generating subquestions (4 steps)...
  [4047/8792] Generating subquestions (3 steps)...
  [4048/8792] Generating subquestions (5 steps)...
  [4049/8792] Generating subquestions (2 steps)...
  [4050/8792] Generating subquestions (4 steps)...
  [4052/8792] Generating subquestions (5 steps)...
  [4053/8792] Generating subquestions (3 steps)...
  [4054/8792] Generating subquestions (6 steps)...
  [4055/8792] Generating subquestions (5 steps)...
  [4056/8792] Generating subquestions (4 steps)...
  [4057/8792] Generating subquestions (3 steps)...
  [4058/8792] Generating subquestions (3 steps)...
  [4059/8792] Generating subquestions (3 steps)...
  [4060/8792] Generating subquestions (3 steps)...
  [4061/8792] Generating subquestions (3 steps)...
  [4062/8792] Generating subquestions (4 steps)...
  [4063/8792] Generating subquestions (4 steps)...
  [4064/8792] Generating subquestions (3 steps)...
  [4065/8792] Generating subquestions (2 steps)...
  [4066/8792] Generating subquestions (4 steps)...
  [4067/8792] Generating subquestions (5 steps)...
  [4068/8792] Generating subquestions (4 steps)...
  [4069/8792] Generating subquestions (2 steps)...
  [4070/8792] Generating subquestions (4 steps)...
  [4071/8792] Generating subquestions (6 steps)...
  [4072/8792] Generating subquestions (2 steps)...
  [4073/8792] Generating subquestions (3 steps)...
  [4074/8792] Generating subquestions (3 steps)...
  [4075/8792] Generating subquestions (2 steps)...
  [4076/8792] Generating subquestions (4 steps)...
  [4077/8792] Generating subquestions (3 steps)...
  [4078/8792] Generating subquestions (3 steps)...
  [4079/8792] Generating subquestions (3 steps)...
  [4080/8792] Generating subquestions (3 steps)...
  [4081/8792] Generating subquestions (3 steps)...
  [4082/8792] Generating subquestions (3 steps)...
  [4083/8792] Generating subquestions (2 steps)...
  [4084/8792] Generating subquestions (2 steps)...
  [4085/8792] Generating subquestions (3 steps)...
  [4086/8792] Generating subquestions (4 steps)...
  [4088/8792] Generating subquestions (4 steps)...
  [4089/8792] Generating subquestions (3 steps)...
  [4091/8792] Generating subquestions (3 steps)...
  [4092/8792] Generating subquestions (2 steps)...
  [4093/8792] Generating subquestions (5 steps)...
  [4094/8792] Generating subquestions (3 steps)...
  [4096/8792] Generating subquestions (3 steps)...
  [4097/8792] Generating subquestions (2 steps)...
  [4098/8792] Generating subquestions (2 steps)...
  [4099/8792] Generating subquestions (4 steps)...
  [4100/8792] Generating subquestions (3 steps)...
  [4102/8792] Generating subquestions (4 steps)...
  [4104/8792] Generating subquestions (4 steps)...
  [4105/8792] Generating subquestions (4 steps)...
  [4107/8792] Generating subquestions (2 steps)...
  [4108/8792] Generating subquestions (4 steps)...
  [4109/8792] Generating subquestions (3 steps)...
  [4110/8792] Generating subquestions (3 steps)...
  [4111/8792] Generating subquestions (2 steps)...
  [4112/8792] Generating subquestions (2 steps)...
  [4113/8792] Generating subquestions (2 steps)...
  [4114/8792] Generating subquestions (4 steps)...
  [4115/8792] Generating subquestions (2 steps)...
  [4116/8792] Generating subquestions (6 steps)...
  [4117/8792] Generating subquestions (3 steps)...
  [4119/8792] Generating subquestions (3 steps)...
  [4121/8792] Generating subquestions (2 steps)...
  [4123/8792] Generating subquestions (2 steps)...
  [4124/8792] Generating subquestions (5 steps)...
  [4125/8792] Generating subquestions (4 steps)...
  [4126/8792] Generating subquestions (3 steps)...
  [4128/8792] Generating subquestions (5 steps)...
  [4129/8792] Generating subquestions (5 steps)...
  [4130/8792] Generating subquestions (3 steps)...
  [4131/8792] Generating subquestions (2 steps)...
  [4132/8792] Generating subquestions (2 steps)...
  [4133/8792] Generating subquestions (5 steps)...
  [4134/8792] Generating subquestions (3 steps)...
  [4135/8792] Generating subquestions (5 steps)...
  [4136/8792] Generating subquestions (6 steps)...
  [4137/8792] Generating subquestions (3 steps)...
  [4138/8792] Generating subquestions (2 steps)...
  [4139/8792] Generating subquestions (2 steps)...
  [4140/8792] Generating subquestions (2 steps)...
  [4141/8792] Generating subquestions (2 steps)...
  [4142/8792] Generating subquestions (2 steps)...
  [4143/8792] Generating subquestions (4 steps)...
  [4144/8792] Generating subquestions (4 steps)...
  [4145/8792] Generating subquestions (3 steps)...
  [4147/8792] Generating subquestions (4 steps)...
  [4148/8792] Generating subquestions (4 steps)...
  [4149/8792] Generating subquestions (2 steps)...
  [4150/8792] Generating subquestions (5 steps)...
  [4151/8792] Generating subquestions (5 steps)...
  [4152/8792] Generating subquestions (6 steps)...
  [4153/8792] Generating subquestions (5 steps)...
  [4154/8792] Generating subquestions (3 steps)...
  [4155/8792] Generating subquestions (4 steps)...
  [4156/8792] Generating subquestions (3 steps)...
  [4157/8792] Generating subquestions (5 steps)...
  [4158/8792] Generating subquestions (3 steps)...
  [4159/8792] Generating subquestions (4 steps)...
  [4161/8792] Generating subquestions (3 steps)...
  [4162/8792] Generating subquestions (3 steps)...
  [4163/8792] Generating subquestions (3 steps)...
  [4164/8792] Generating subquestions (7 steps)...
  [4165/8792] Generating subquestions (5 steps)...
  [4166/8792] Generating subquestions (4 steps)...
  [4167/8792] Generating subquestions (3 steps)...
  [4168/8792] Generating subquestions (5 steps)...
  [4169/8792] Generating subquestions (4 steps)...
  [4170/8792] Generating subquestions (6 steps)...
  [4172/8792] Generating subquestions (4 steps)...
  [4173/8792] Generating subquestions (3 steps)...
  [4174/8792] Generating subquestions (3 steps)...
  [4175/8792] Generating subquestions (6 steps)...
  [4176/8792] Generating subquestions (4 steps)...
  [4177/8792] Generating subquestions (2 steps)...
  [4179/8792] Generating subquestions (4 steps)...
  [4180/8792] Generating subquestions (3 steps)...
  [4182/8792] Generating subquestions (5 steps)...
  [4183/8792] Generating subquestions (5 steps)...
  [4184/8792] Generating subquestions (3 steps)...
  [4185/8792] Generating subquestions (3 steps)...
  [4186/8792] Generating subquestions (3 steps)...
  [4187/8792] Generating subquestions (3 steps)...
  [4188/8792] Generating subquestions (3 steps)...
  [4189/8792] Generating subquestions (2 steps)...
  [4190/8792] Generating subquestions (6 steps)...
  [4191/8792] Generating subquestions (3 steps)...
  [4192/8792] Generating subquestions (4 steps)...
  [4193/8792] Generating subquestions (3 steps)...
  [4194/8792] Generating subquestions (3 steps)...
  [4195/8792] Generating subquestions (2 steps)...
  [4196/8792] Generating subquestions (3 steps)...
  [4197/8792] Generating subquestions (2 steps)...
  [4198/8792] Generating subquestions (4 steps)...
  [4199/8792] Generating subquestions (2 steps)...
  [4200/8792] Generating subquestions (3 steps)...
  [4202/8792] Generating subquestions (3 steps)...
  [4203/8792] Generating subquestions (3 steps)...
  [4204/8792] Generating subquestions (2 steps)...
  [4205/8792] Generating subquestions (3 steps)...
  [4206/8792] Generating subquestions (4 steps)...
  [4207/8792] Generating subquestions (3 steps)...
  [4209/8792] Generating subquestions (3 steps)...
  [4211/8792] Generating subquestions (3 steps)...
  [4212/8792] Generating subquestions (3 steps)...
  [4213/8792] Generating subquestions (2 steps)...
  [4214/8792] Generating subquestions (5 steps)...
  [4215/8792] Generating subquestions (7 steps)...
  [4216/8792] Generating subquestions (4 steps)...
  [4217/8792] Generating subquestions (4 steps)...
  [4218/8792] Generating subquestions (4 steps)...
  [4219/8792] Generating subquestions (3 steps)...
  [4220/8792] Generating subquestions (3 steps)...
  [4221/8792] Generating subquestions (3 steps)...
  [4222/8792] Generating subquestions (2 steps)...
  [4223/8792] Generating subquestions (3 steps)...
  [4224/8792] Generating subquestions (6 steps)...
  [4225/8792] Generating subquestions (3 steps)...
  [4226/8792] Generating subquestions (2 steps)...
  [4227/8792] Generating subquestions (2 steps)...
  [4228/8792] Generating subquestions (4 steps)...
  [4229/8792] Generating subquestions (4 steps)...
  [4230/8792] Generating subquestions (2 steps)...
  [4231/8792] Generating subquestions (3 steps)...
  [4232/8792] Generating subquestions (3 steps)...
  [4233/8792] Generating subquestions (3 steps)...
  [4234/8792] Generating subquestions (3 steps)...
  [4235/8792] Generating subquestions (3 steps)...
  [4236/8792] Generating subquestions (5 steps)...
  [4237/8792] Generating subquestions (3 steps)...
  [4238/8792] Generating subquestions (2 steps)...
  [4239/8792] Generating subquestions (4 steps)...
  [4240/8792] Generating subquestions (4 steps)...
  [4241/8792] Generating subquestions (6 steps)...
  [4242/8792] Generating subquestions (6 steps)...
  [4243/8792] Generating subquestions (2 steps)...
  [4244/8792] Generating subquestions (2 steps)...
  [4245/8792] Generating subquestions (3 steps)...
  [4246/8792] Generating subquestions (5 steps)...
  [4247/8792] Generating subquestions (4 steps)...
  [4248/8792] Generating subquestions (3 steps)...
  [4249/8792] Generating subquestions (2 steps)...
  [4250/8792] Generating subquestions (2 steps)...
  [4251/8792] Generating subquestions (3 steps)...
  [4252/8792] Generating subquestions (3 steps)...
  [4253/8792] Generating subquestions (2 steps)...
  [4254/8792] Generating subquestions (3 steps)...
  [4255/8792] Generating subquestions (2 steps)...
  [4256/8792] Generating subquestions (3 steps)...
  [4257/8792] Generating subquestions (2 steps)...
  [4258/8792] Generating subquestions (2 steps)...
  [4259/8792] Generating subquestions (4 steps)...
  [4260/8792] Generating subquestions (5 steps)...
  [4261/8792] Generating subquestions (4 steps)...
  [4262/8792] Generating subquestions (3 steps)...
  [4263/8792] Generating subquestions (5 steps)...
  [4264/8792] Generating subquestions (2 steps)...
  [4265/8792] Generating subquestions (3 steps)...
  [4266/8792] Generating subquestions (5 steps)...
  [4267/8792] Generating subquestions (4 steps)...
  [4269/8792] Generating subquestions (3 steps)...
  [4270/8792] Generating subquestions (5 steps)...
  [4271/8792] Generating subquestions (2 steps)...
  [4272/8792] Generating subquestions (2 steps)...
  [4273/8792] Generating subquestions (3 steps)...
  [4274/8792] Generating subquestions (5 steps)...
  [4275/8792] Generating subquestions (5 steps)...
  [4276/8792] Generating subquestions (4 steps)...
  [4277/8792] Generating subquestions (3 steps)...
  [4278/8792] Generating subquestions (5 steps)...
  [4279/8792] Generating subquestions (2 steps)...
  [4280/8792] Generating subquestions (3 steps)...
  [4281/8792] Generating subquestions (5 steps)...
  [4282/8792] Generating subquestions (2 steps)...
  [4283/8792] Generating subquestions (4 steps)...
  [4284/8792] Generating subquestions (4 steps)...
  [4285/8792] Generating subquestions (6 steps)...
  [4286/8792] Generating subquestions (2 steps)...
  [4287/8792] Generating subquestions (3 steps)...
  [4288/8792] Generating subquestions (3 steps)...
  [4289/8792] Generating subquestions (4 steps)...
  [4290/8792] Generating subquestions (2 steps)...
  [4291/8792] Generating subquestions (2 steps)...
  [4292/8792] Generating subquestions (3 steps)...
  [4293/8792] Generating subquestions (4 steps)...
  [4294/8792] Generating subquestions (6 steps)...
  [4295/8792] Generating subquestions (4 steps)...
  [4296/8792] Generating subquestions (4 steps)...
  [4297/8792] Generating subquestions (4 steps)...
  [4298/8792] Generating subquestions (5 steps)...
  [4299/8792] Generating subquestions (6 steps)...
  [4300/8792] Generating subquestions (7 steps)...
  [4301/8792] Generating subquestions (2 steps)...
  [4302/8792] Generating subquestions (2 steps)...
  [4303/8792] Generating subquestions (3 steps)...
  [4304/8792] Generating subquestions (3 steps)...
  [4305/8792] Generating subquestions (5 steps)...
  [4306/8792] Generating subquestions (4 steps)...
  [4307/8792] Generating subquestions (2 steps)...
  [4308/8792] Generating subquestions (3 steps)...
  [4309/8792] Generating subquestions (2 steps)...
  [4310/8792] Generating subquestions (5 steps)...
  [4311/8792] Generating subquestions (3 steps)...
  [4312/8792] Generating subquestions (3 steps)...
  [4313/8792] Generating subquestions (4 steps)...
  [4314/8792] Generating subquestions (2 steps)...
  [4316/8792] Generating subquestions (2 steps)...
  [4317/8792] Generating subquestions (2 steps)...
  [4318/8792] Generating subquestions (2 steps)...
  [4319/8792] Generating subquestions (5 steps)...
  [4320/8792] Generating subquestions (5 steps)...
  [4321/8792] Generating subquestions (5 steps)...
  [4322/8792] Generating subquestions (2 steps)...
  [4323/8792] Generating subquestions (3 steps)...
  [4324/8792] Generating subquestions (2 steps)...
  [4325/8792] Generating subquestions (6 steps)...
  [4326/8792] Generating subquestions (2 steps)...
  [4327/8792] Generating subquestions (4 steps)...
  [4328/8792] Generating subquestions (2 steps)...
  [4329/8792] Generating subquestions (3 steps)...
  [4330/8792] Generating subquestions (2 steps)...
  [4331/8792] Generating subquestions (2 steps)...
  [4332/8792] Generating subquestions (2 steps)...
  [4334/8792] Generating subquestions (4 steps)...
  [4335/8792] Generating subquestions (5 steps)...
  [4336/8792] Generating subquestions (2 steps)...
  [4337/8792] Generating subquestions (3 steps)...
  [4338/8792] Generating subquestions (3 steps)...
  [4339/8792] Generating subquestions (2 steps)...
  [4341/8792] Generating subquestions (3 steps)...
  [4342/8792] Generating subquestions (3 steps)...
  [4343/8792] Generating subquestions (2 steps)...
  [4344/8792] Generating subquestions (2 steps)...
  [4345/8792] Generating subquestions (3 steps)...
  [4346/8792] Generating subquestions (6 steps)...
  [4347/8792] Generating subquestions (7 steps)...
  [4348/8792] Generating subquestions (6 steps)...
  [4349/8792] Generating subquestions (4 steps)...
  [4351/8792] Generating subquestions (3 steps)...
  [4352/8792] Generating subquestions (4 steps)...
  [4353/8792] Generating subquestions (5 steps)...
  [4354/8792] Generating subquestions (2 steps)...
  [4355/8792] Generating subquestions (4 steps)...
  [4356/8792] Generating subquestions (5 steps)...
  [4357/8792] Generating subquestions (5 steps)...
  [4358/8792] Generating subquestions (3 steps)...
  [4360/8792] Generating subquestions (5 steps)...
  [4361/8792] Generating subquestions (4 steps)...
  [4362/8792] Generating subquestions (2 steps)...
  [4363/8792] Generating subquestions (2 steps)...
  [4364/8792] Generating subquestions (5 steps)...
  [4365/8792] Generating subquestions (2 steps)...
  [4367/8792] Generating subquestions (3 steps)...
  [4368/8792] Generating subquestions (2 steps)...
  [4369/8792] Generating subquestions (2 steps)...
  [4371/8792] Generating subquestions (6 steps)...
  [4372/8792] Generating subquestions (5 steps)...
  [4373/8792] Generating subquestions (2 steps)...
  [4374/8792] Generating subquestions (4 steps)...
  [4375/8792] Generating subquestions (3 steps)...
  [4377/8792] Generating subquestions (3 steps)...
  [4378/8792] Generating subquestions (3 steps)...
  [4379/8792] Generating subquestions (4 steps)...
  [4380/8792] Generating subquestions (4 steps)...
  [4381/8792] Generating subquestions (3 steps)...
  [4382/8792] Generating subquestions (3 steps)...
  [4383/8792] Generating subquestions (5 steps)...
  [4384/8792] Generating subquestions (2 steps)...
  [4385/8792] Generating subquestions (2 steps)...
  [4386/8792] Generating subquestions (3 steps)...
  [4387/8792] Generating subquestions (3 steps)...
  [4388/8792] Generating subquestions (3 steps)...
  [4389/8792] Generating subquestions (4 steps)...
  [4390/8792] Generating subquestions (4 steps)...
  [4391/8792] Generating subquestions (3 steps)...
  [4392/8792] Generating subquestions (2 steps)...
  [4393/8792] Generating subquestions (3 steps)...
  [4394/8792] Generating subquestions (2 steps)...
  [4396/8792] Generating subquestions (3 steps)...
  [4397/8792] Generating subquestions (5 steps)...
  [4398/8792] Generating subquestions (2 steps)...
  [4399/8792] Generating subquestions (3 steps)...
  [4400/8792] Generating subquestions (5 steps)...
  [4401/8792] Generating subquestions (7 steps)...
  [4402/8792] Generating subquestions (5 steps)...
  [4403/8792] Generating subquestions (4 steps)...
  [4405/8792] Generating subquestions (2 steps)...
  [4406/8792] Generating subquestions (2 steps)...
  [4407/8792] Generating subquestions (3 steps)...
  [4408/8792] Generating subquestions (6 steps)...
  [4409/8792] Generating subquestions (5 steps)...
  [4410/8792] Generating subquestions (3 steps)...
  [4411/8792] Generating subquestions (2 steps)...
  [4412/8792] Generating subquestions (3 steps)...
  [4413/8792] Generating subquestions (5 steps)...
  [4414/8792] Generating subquestions (2 steps)...
  [4415/8792] Generating subquestions (4 steps)...
  [4416/8792] Generating subquestions (4 steps)...
  [4417/8792] Generating subquestions (3 steps)...
  [4418/8792] Generating subquestions (3 steps)...
  [4419/8792] Generating subquestions (2 steps)...
  [4420/8792] Generating subquestions (6 steps)...
  [4421/8792] Generating subquestions (3 steps)...
  [4422/8792] Generating subquestions (4 steps)...
  [4423/8792] Generating subquestions (2 steps)...
  [4424/8792] Generating subquestions (5 steps)...
  [4425/8792] Generating subquestions (5 steps)...
  [4426/8792] Generating subquestions (2 steps)...
  [4427/8792] Generating subquestions (2 steps)...
  [4428/8792] Generating subquestions (3 steps)...
  [4429/8792] Generating subquestions (4 steps)...
  [4430/8792] Generating subquestions (2 steps)...
  [4432/8792] Generating subquestions (3 steps)...
  [4433/8792] Generating subquestions (2 steps)...
  [4434/8792] Generating subquestions (3 steps)...
  [4435/8792] Generating subquestions (4 steps)...
  [4436/8792] Generating subquestions (6 steps)...
  [4437/8792] Generating subquestions (2 steps)...
  [4438/8792] Generating subquestions (3 steps)...
  [4439/8792] Generating subquestions (4 steps)...
  [4440/8792] Generating subquestions (3 steps)...
  [4442/8792] Generating subquestions (3 steps)...
  [4443/8792] Generating subquestions (5 steps)...
  [4444/8792] Generating subquestions (4 steps)...
  [4445/8792] Generating subquestions (3 steps)...
  [4446/8792] Generating subquestions (7 steps)...
  [4447/8792] Generating subquestions (4 steps)...
  [4448/8792] Generating subquestions (4 steps)...
  [4449/8792] Generating subquestions (4 steps)...
  [4450/8792] Generating subquestions (4 steps)...
  [4451/8792] Generating subquestions (5 steps)...
  [4452/8792] Generating subquestions (2 steps)...
  [4453/8792] Generating subquestions (3 steps)...
  [4454/8792] Generating subquestions (5 steps)...
  [4455/8792] Generating subquestions (4 steps)...
  [4456/8792] Generating subquestions (5 steps)...
  [4457/8792] Generating subquestions (2 steps)...
  [4458/8792] Generating subquestions (4 steps)...
  [4459/8792] Generating subquestions (4 steps)...
  [4460/8792] Generating subquestions (4 steps)...
  [4461/8792] Generating subquestions (4 steps)...
  [4462/8792] Generating subquestions (3 steps)...
  [4463/8792] Generating subquestions (2 steps)...
  [4464/8792] Generating subquestions (2 steps)...
  [4465/8792] Generating subquestions (5 steps)...
  [4466/8792] Generating subquestions (2 steps)...
  [4467/8792] Generating subquestions (4 steps)...
  [4468/8792] Generating subquestions (2 steps)...
  [4469/8792] Generating subquestions (8 steps)...
  [4470/8792] Generating subquestions (3 steps)...
  [4472/8792] Generating subquestions (5 steps)...
  [4473/8792] Generating subquestions (3 steps)...
  [4474/8792] Generating subquestions (5 steps)...
  [4475/8792] Generating subquestions (3 steps)...
  [4476/8792] Generating subquestions (2 steps)...
  [4477/8792] Generating subquestions (2 steps)...
  [4478/8792] Generating subquestions (5 steps)...
  [4479/8792] Generating subquestions (5 steps)...
  [4480/8792] Generating subquestions (4 steps)...
  [4481/8792] Generating subquestions (5 steps)...
  [4482/8792] Generating subquestions (2 steps)...
  [4483/8792] Generating subquestions (2 steps)...
  [4484/8792] Generating subquestions (6 steps)...
  [4485/8792] Generating subquestions (2 steps)...
  [4487/8792] Generating subquestions (4 steps)...
  [4488/8792] Generating subquestions (2 steps)...
  [4489/8792] Generating subquestions (3 steps)...
  [4490/8792] Generating subquestions (2 steps)...
  [4491/8792] Generating subquestions (3 steps)...
  [4492/8792] Generating subquestions (2 steps)...
  [4493/8792] Generating subquestions (4 steps)...
  [4494/8792] Generating subquestions (3 steps)...
  [4495/8792] Generating subquestions (7 steps)...
  [4496/8792] Generating subquestions (5 steps)...
  [4497/8792] Generating subquestions (3 steps)...
  [4498/8792] Generating subquestions (4 steps)...
  [4499/8792] Generating subquestions (2 steps)...
  [4500/8792] Generating subquestions (4 steps)...
  [4501/8792] Generating subquestions (5 steps)...
  [4502/8792] Generating subquestions (4 steps)...
  [4503/8792] Generating subquestions (3 steps)...
  [4504/8792] Generating subquestions (2 steps)...
  [4505/8792] Generating subquestions (5 steps)...
  [4506/8792] Generating subquestions (6 steps)...
  [4507/8792] Generating subquestions (4 steps)...
  [4508/8792] Generating subquestions (3 steps)...
